time,vehicle_id,vehicle_type,edge_id,lane_id,speed,waiting_time,position_x,position_y
3590.0,reverse_buses.8,bus,-631197284#3,-631197284#3_0,0.0,180.0,5161.643,11645.245
3590.0,reverse_cars.100,car,150510724#4,150510724#4_2,0.0,61.0,4870.524,11755.307
3590.0,reverse_cars.101,car,150510724#4,150510724#4_2,0.0,55.0,4847.453,11764.956
3590.0,reverse_cars.102,car,150510724#4,150510724#4_2,0.0,52.0,4840.531,11767.85
3590.0,reverse_cars.103,car,150510724#4,150510724#4_2,0.0,50.0,4830.841,11771.903
3590.0,reverse_cars.104,car,150510724#4,150510724#4_2,0.0,49.0,4823.919,11774.798
3590.0,reverse_cars.105,car,150510724#4,150510724#4_2,0.0,46.0,4814.228,11778.851
3590.0,reverse_cars.106,car,150510724#4,150510724#4_2,0.0,45.0,4807.307,11781.746
3590.0,reverse_cars.107,car,150510724#4,150510724#4_2,0.0,42.0,4797.616,11785.798
3590.0,reverse_cars.108,car,150510724#4,150510724#4_2,0.0,41.0,4790.695,11788.693
3590.0,reverse_cars.109,car,150510724#4,150510724#4_2,0.0,38.0,4781.004,11792.746
